node_label,Country Code,Cluster,index,node_id,1999 [YR1999],2000 [YR2000],2001 [YR2001],2002 [YR2002],2003 [YR2003],2004 [YR2004],2005 [YR2005],2006 [YR2006],2007 [YR2007],2008 [YR2008],2009 [YR2009],2010 [YR2010],2011 [YR2011],2012 [YR2012],2013 [YR2013],2014 [YR2014],2015 [YR2015],2016 [YR2016],2017 [YR2017],2018 [YR2018],2019 [YR2019],Edu
France,FRA,C5,0,1,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10
China,CHN,C2,1,2,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9
Puerto Rico,PRI,C3,2,3,13,13,16,16,16,16,16,16,16,16,13,13,13,13,13,13,13,13,13,13,13,14.1429
Malawi,MWI,C2,3,4,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8
Ghana,GHA,C5,4,5,9,9,9,9,9,9,9,9,11,11,11,11,11,11,11,11,11,11,11,11,11,10.2381
Mexico,MEX,C3,6,7,9,9,11,11,11,11,11,11,11,11,11,11,11,14,14,14,14,14,14,14,14,11.9524
"Venezuela, RB",VEN,C3,7,8,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,17,17,17,14.4286
Sri Lanka,LKA,C2,8,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,11,11,11,11,9.38095
Zimbabwe,ZWE,C4,9,10,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7
Norway,NOR,C5,10,11,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10
Brazil,BRA,C5,12,13,8,8,8,8,8,8,8,8,8,8,8,8,8,8,14,14,14,14,14,14,14,10
Tunisia,TUN,C2,13,14,0,0,0,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,7.71429
Romania,ROU,C5,14,15,8,8,8,8,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,9.61905
Ukraine,UKR,C3,15,16,10,10,10,10,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,10.8095
Germany,DEU,C3,16,17,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13
Pakistan,PAK,C3,17,18,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12
Armenia,ARM,C3,18,19,10,10,10,10,10,10,10,10,10,10,10,10,11,12,12,12,12,12,12,12,12,10.8095
West Bank and Gaza,PSE,C5,19,20,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10
Belarus,BLR,C2,20,21,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9
Lithuania,LTU,C5,21,22,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10
Bangladesh,BGD,C4,22,23,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5
Nigeria,NGA,C2,23,24,0,0,0,0,0,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,6.85714
Algeria,DZA,C5,24,25,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10
Latvia,LVA,C3,25,26,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11
Burkina Faso,BFA,C5,26,27,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10
Indonesia,IDN,C2,27,28,0,0,0,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,7.71429
Eritrea,ERI,C4,28,29,0,0,0,0,0,0,0,0,0,0,0,8,8,8,8,8,8,8,8,8,8,3.80952
Greece,GRC,C5,29,30,9,9,9,9,9,9,9,9,9,10,10,10,10,10,10,10,10,10,10,10,10,9.57143
India,IND,C4,30,31,0,0,0,0,0,0,0,0,0,0,8,8,8,8,8,8,8,8,8,8,8,4.19048
Canada,CAN,C5,31,32,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10
Estonia,EST,C2,32,33,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9
New Zealand,NZL,C5,33,34,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10
United States,USA,C3,34,35,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12
Ethiopia,ETH,C2,35,36,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8
Australia,AUS,C5,36,37,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10
Myanmar,MMR,C4,37,38,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5
Sweden,SWE,C2,39,40,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,10,9.04762
Israel,ISR,C3,40,41,11,11,11,11,11,11,11,11,11,11,13,13,13,13,13,13,13,15,15,15,15,12.4286
Philippines,PHL,C3,42,43,10,10,10,10,10,10,10,10,10,10,10,11,11,11,11,11,11,11,11,13,13,10.6667
Georgia,GEO,C2,43,44,6,6,6,6,6,6,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,8.14286
Tajikistan,TJK,C2,44,45,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9
Singapore,SGP,C4,45,46,0,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,5.71429
South Africa,ZAF,C2,46,47,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9
Morocco,MAR,C2,47,48,6,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,8.85714
Azerbaijan,AZE,C2,48,49,9,9,9,9,9,9,9,9,9,9,9,9,9,9,10,10,10,10,10,10,10,9.33333
Nepal,NPL,C4,49,50,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,10,10,10,10,2.38095
Ireland,IRL,C5,51,52,8,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,9.90476
Belgium,BEL,C3,52,53,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12
Argentina,ARG,C3,53,54,10,10,10,10,10,10,10,13,13,13,13,13,13,13,13,13,14,14,14,14,14,12.2381
Switzerland,CHE,C3,54,55,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11
Kenya,KEN,C5,55,56,8,8,8,8,8,8,8,8,8,8,8,8,8,8,12,12,12,12,12,12,12,9.33333
Mali,MLI,C2,56,57,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9
Uzbekistan,UZB,C3,57,58,11,11,11,11,11,11,11,11,11,11,11,11,12,12,12,12,12,12,12,12,12,11.4286
Kazakhstan,KAZ,C2,58,59,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9
Russian Federation,RUS,C2,59,60,8,8,8,8,8,9,9,9,9,9,9,9,9,9,11,11,11,11,11,11,11,9.42857
"Hong Kong SAR, China",HKG,C2,60,61,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9
Austria,AUT,C5,61,62,9,9,9,9,9,9,9,9,9,9,9,9,10,10,10,10,10,10,13,13,13,9.85714
Togo,TGO,C5,62,63,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10
Uganda,UGA,C4,63,64,0,0,0,0,0,0,0,0,0,7,7,7,7,7,7,7,7,7,7,7,7,4
Thailand,THA,C2,64,65,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9
Rwanda,RWA,C4,65,66,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6
Cote d'Ivoire,CIV,C5,68,69,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10
Chile,CHL,C3,69,70,8,8,8,8,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,11.2381
Japan,JPN,C2,70,71,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9
Slovak Republic,SVK,C5,71,72,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10
United Kingdom,GBR,C3,72,73,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11
Tanzania,TZA,C4,73,74,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7
"Congo, Dem. Rep.",COD,C4,74,75,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6
Virgin Islands (U.S.),VIR,C1,75,76,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Kyrgyz Republic,KGZ,C2,76,77,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,10,10,10,10,10,10,9.28571
Hungary,HUN,C3,77,78,13,13,13,13,13,13,13,13,13,13,13,13,13,13,11,11,13,13,13,13,13,12.8095
Syrian Arab Republic,SYR,C2,78,79,6,6,6,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,8.57143
Spain,ESP,C5,79,80,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10
Malaysia,MYS,C4,80,81,0,0,0,0,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,4.85714
Paraguay,PRY,C3,81,82,9,9,9,9,9,9,9,9,9,9,9,9,13,13,13,13,13,13,13,13,13,10.7143
Moldova,MDA,C2,82,83,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,11,11,11,9.28571
Jamaica,JAM,C4,83,84,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6
Portugal,PRT,C3,84,85,9,9,9,9,9,9,9,9,9,9,12,12,12,12,12,12,12,12,12,12,12,10.5714
Cambodia,KHM,C1,85,86,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Bulgaria,BGR,C5,86,87,9,9,9,9,9,9,9,9,9,9,9,9,11,11,11,11,11,11,11,11,11,9.85714
Poland,POL,C2,87,88,0,9,9,9,9,9,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,9.28571
Cameroon,CMR,C4,88,89,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6
Mozambique,MOZ,C1,89,90,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Lesotho,LSO,C4,90,91,0,0,0,0,0,0,0,0,0,0,0,7,7,7,7,7,7,7,7,7,7,3.33333
Italy,ITA,C3,91,92,8,8,8,8,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,11.2381
Netherlands,NLD,C3,92,93,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13
