node_id,node_label,Country Code,Cluster,index,other,1999 [YR1999],2000 [YR2000],2001 [YR2001],2002 [YR2002],2003 [YR2003],2004 [YR2004],2005 [YR2005],2006 [YR2006],2007 [YR2007],2008 [YR2008],2009 [YR2009],2010 [YR2010],2011 [YR2011],2012 [YR2012],2013 [YR2013],2014 [YR2014],2015 [YR2015],2016 [YR2016],2017 [YR2017],2018 [YR2018],2019 [YR2019]
1,Rwanda,RWA,C4,0,1,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6
2,Israel,ISR,C3,1,2,11,11,11,11,11,11,11,11,11,11,13,13,13,13,13,13,13,15,15,15,15
3,Armenia,ARM,C3,2,3,10,10,10,10,10,10,10,10,10,10,10,10,11,12,12,12,12,12,12,12,12
4,Australia,AUS,C5,3,4,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10
5,Azerbaijan,AZE,C2,4,5,9,9,9,9,9,9,9,9,9,9,9,9,9,9,10,10,10,10,10,10,10
6,Spain,ESP,C5,5,6,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10
7,Brazil,BRA,C5,6,7,8,8,8,8,8,8,8,8,8,8,8,8,8,8,14,14,14,14,14,14,14
8,Slovak Republic,SVK,C5,7,8,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10
9,Thailand,THA,C2,8,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9
10,Argentina,ARG,C3,9,10,10,10,10,10,10,10,10,13,13,13,13,13,13,13,13,13,14,14,14,14,14
11,Mexico,MEX,C3,10,11,9,9,11,11,11,11,11,11,11,11,11,11,11,14,14,14,14,14,14,14,14
12,Bulgaria,BGR,C5,11,12,9,9,9,9,9,9,9,9,9,9,9,9,11,11,11,11,11,11,11,11,11
13,Tunisia,TUN,C2,12,13,0,0,0,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9
14,Georgia,GEO,C2,13,14,6,6,6,6,6,6,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9
15,Indonesia,IDN,C2,14,15,0,0,0,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9
16,Kazakhstan,KAZ,C2,15,16,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9
17,New Zealand,NZL,C5,16,17,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10
18,Greece,GRC,C5,17,18,9,9,9,9,9,9,9,9,9,10,10,10,10,10,10,10,10,10,10,10,10
19,Turkmenistan,TKM,C5,18,19,9,9,9,9,9,9,9,9,9,9,10,10,10,10,10,12,12,12,12,12,12
20,Latvia,LVA,C3,19,20,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11
21,Tanzania,TZA,C4,20,21,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7
22,United States,USA,C3,21,22,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12
23,"Venezuela, RB",VEN,C3,22,23,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,17,17,17
24,Switzerland,CHE,C3,23,24,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11
25,Canada,CAN,C5,24,25,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10
26,Romania,ROU,C5,25,26,8,8,8,8,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10
27,Togo,TGO,C5,26,27,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10
28,Czech Republic,,,27,28,,,,,,,,,,,,,,,,,,,,,
29,Russian Federation,RUS,C2,28,29,8,8,8,8,8,9,9,9,9,9,9,9,9,9,11,11,11,11,11,11,11
30,Turkey,,,29,30,,,,,,,,,,,,,,,,,,,,,
31,Syrian Arab Republic,SYR,C2,30,31,6,6,6,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9
32,Hungary,HUN,C3,31,32,13,13,13,13,13,13,13,13,13,13,13,13,13,13,11,11,13,13,13,13,13
33,China,CHN,C2,32,33,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9
34,Cambodia,KHM,C1,33,34,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
35,Mozambique,MOZ,C1,34,35,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
36,Ethiopia,ETH,C2,35,36,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8
37,Italy,ITA,C3,36,37,8,8,8,8,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12
38,Morocco,MAR,C2,37,38,6,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9
39,Nepal,NPL,C4,38,39,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,10,10,10,10
40,Nigeria,NGA,C2,39,40,0,0,0,0,0,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9
41,Paraguay,PRY,C3,40,41,9,9,9,9,9,9,9,9,9,9,9,9,13,13,13,13,13,13,13,13,13
42,Cote d'Ivoire,CIV,C5,41,42,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10
43,Sweden,SWE,C2,42,43,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,10
44,Ghana,GHA,C5,43,44,9,9,9,9,9,9,9,9,11,11,11,11,11,11,11,11,11,11,11,11,11
45,Jamaica,JAM,C4,44,45,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6
46,Belgium,BEL,C3,45,46,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12
47,South Africa,ZAF,C2,46,47,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9
48,Uganda,UGA,C4,47,48,0,0,0,0,0,0,0,0,0,7,7,7,7,7,7,7,7,7,7,7,7
49,Lesotho,LSO,C4,48,49,0,0,0,0,0,0,0,0,0,0,0,7,7,7,7,7,7,7,7,7,7
50,Eritrea,ERI,C4,49,50,0,0,0,0,0,0,0,0,0,0,0,8,8,8,8,8,8,8,8,8,8
51,Puerto Rico,PRI,C3,50,51,13,13,16,16,16,16,16,16,16,16,13,13,13,13,13,13,13,13,13,13,13
52,Ukraine,UKR,C3,51,52,10,10,10,10,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11
53,Uzbekistan,UZB,C3,52,53,11,11,11,11,11,11,11,11,11,11,11,11,12,12,12,12,12,12,12,12,12
54,Japan,JPN,C2,53,54,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9
55,Malaysia,MYS,C4,54,55,0,0,0,0,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6
56,"Korea, Rep.",KOR,C2,55,56,6,6,6,7,8,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9
57,Chile,CHL,C3,56,57,8,8,8,8,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12
58,Malawi,MWI,C2,57,58,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8
59,Germany,DEU,C3,58,59,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13
60,Pakistan,PAK,C3,59,60,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12
61,Burkina Faso,BFA,C5,60,61,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10
62,Singapore,SGP,C4,61,62,0,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6
63,Tajikistan,TJK,C2,62,63,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9
64,Virgin Islands (U.S.),VIR,C1,63,64,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
65,Portugal,PRT,C3,64,65,9,9,9,9,9,9,9,9,9,9,12,12,12,12,12,12,12,12,12,12,12
66,West Bank and Gaza,PSE,C5,65,66,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10
67,Philippines,PHL,C3,66,67,10,10,10,10,10,10,10,10,10,10,10,11,11,11,11,11,11,11,11,13,13
68,Kyrgyz Republic,KGZ,C2,67,68,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,10,10,10,10,10,10
69,Netherlands,NLD,C3,68,69,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13
70,Poland,POL,C2,69,70,0,9,9,9,9,9,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10
71,Mali,MLI,C2,70,71,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9
72,India,IND,C4,71,72,0,0,0,0,0,0,0,0,0,0,8,8,8,8,8,8,8,8,8,8,8
73,Belarus,BLR,C2,72,73,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9
74,"Hong Kong SAR, China",HKG,C2,73,74,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9
75,"Korea, Dem. Rep.",,,74,75,,,,,,,,,,,,,,,,,,,,,
76,Serbia and Montenegro,,,75,76,,,,,,,,,,,,,,,,,,,,,
77,Estonia,EST,C2,76,77,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9
78,Bangladesh,BGD,C4,77,78,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5
79,Sri Lanka,LKA,C2,78,79,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,11,11,11,11
80,Ireland,IRL,C5,79,80,8,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10
81,United Kingdom,GBR,C3,80,81,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11
82,Zimbabwe,ZWE,C4,81,82,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7
83,Cameroon,CMR,C4,82,83,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6
84,Kenya,KEN,C5,83,84,8,8,8,8,8,8,8,8,8,8,8,8,8,8,12,12,12,12,12,12,12
85,Algeria,DZA,C5,84,85,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10
86,Austria,AUT,C5,85,86,9,9,9,9,9,9,9,9,9,9,9,9,10,10,10,10,10,10,13,13,13
87,France,FRA,C5,86,87,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10
88,Moldova,MDA,C2,87,88,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,11,11,11
89,Myanmar,MMR,C4,88,89,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5
90,Norway,NOR,C5,89,90,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10
91,Lithuania,LTU,C5,90,91,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10
92,"Congo, Dem. Rep.",COD,C4,91,92,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6
93,Vietnam,,,92,93,,,,,,,,,,,,,,,,,,,,,
