Group,node_label,Country Code,proj-x,proj-y,node_id,Cluster,1998 [YR1998],1999 [YR1999],2000 [YR2000],2001 [YR2001],2002 [YR2002],2003 [YR2003],2004 [YR2004],2005 [YR2005],2006 [YR2006],2007 [YR2007],2008 [YR2008],2009 [YR2009],2010 [YR2010],2011 [YR2011],2012 [YR2012],2013 [YR2013],2014 [YR2014],2015 [YR2015],2016 [YR2016],2017 [YR2017],2018 [YR2018],2019 [YR2019],Degree,In-degree,Out-degree,Average neighbor degree,Degree centrality,In-degree centrality,Out-degree centrality,Closeness centrality
G1,Greece,GRC,0.48763,0.395227,107,C5,9,9,9,9,9,9,9,9,9,9,10,10,10,10,10,10,10,10,10,10,10,10,4,2,2,2,0.0434783,0.0217391,0.0217391,0
G1,Belgium,BEL,0.448893,0.469151,203,C3,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,2,1,1,2,0.0217391,0.0108696,0.0108696,0
G1,Armenia,ARM,0.53927,0.417649,142,C2,0,10,10,10,10,10,10,10,10,10,10,10,10,11,12,12,12,12,12,12,12,12,2,1,1,4,0.0217391,0.0108696,0.0108696,0
G1,Brazil,BRA,0.450438,0.440598,43,C2,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,14,14,14,14,14,14,14,0,0,0,,0,0,0,0
G1,Romania,ROU,0.522702,0.454333,204,C2,0,8,8,8,8,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,2,1,1,2,0.0217391,0.0108696,0.0108696,0
G1,Malawi,MWI,0.379468,0.48565,56,C4,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,2,1,1,0,0.0217391,0.0108696,0.0108696,0
G1,South Africa,ZAF,0.422014,0.456769,22,C4,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,0,0,0,,0,0,0,0
G1,Algeria,DZA,0.492924,0.453005,179,C5,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,2,1,1,6,0.0217391,0.0108696,0.0108696,0
G1,Ireland,IRL,0.476228,0.437353,24,C5,8,8,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,4,2,2,5,0.0434783,0.0217391,0.0217391,0
G1,Cote d'Ivoire,CIV,1.13972,1.08351,59,C5,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,0,0,0,,0,0,0,0
G1,Germany,DEU,0.481325,0.431943,32,C3,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,14,7,7,4,0.152174,0.076087,0.076087,0
G1,Kazakhstan,KAZ,0.506084,0.427903,154,C4,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,2,1,1,32,0.0217391,0.0108696,0.0108696,0
G1,Togo,TGO,-0.0414839,-1.02945,42,C5,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,2,1,1,0,0.0217391,0.0108696,0.0108696,0
G1,Italy,ITA,0.467427,0.441928,122,C3,8,8,8,8,8,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,22,11,11,3.45455,0.23913,0.119565,0.119565,0
G1,Nigeria,NGA,-0.0585791,-1.02111,94,C2,0,0,0,0,0,0,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,4,2,2,0,0.0434783,0.0217391,0.0217391,0
G1,Portugal,PRT,0.441346,0.44636,37,C2,9,9,9,9,9,9,9,9,9,9,9,12,12,12,12,12,12,12,12,12,12,12,2,1,1,0,0.0217391,0.0108696,0.0108696,0
G1,"Congo, Dem. Rep.",COD,0.44003,0.481492,108,C6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,2,1,1,0,0.0217391,0.0108696,0.0108696,0
G1,Lithuania,LTU,0.49101,0.426965,47,C5,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,4,2,2,13,0.0434783,0.0217391,0.0217391,0
G1,United States,USA,0.473689,0.426635,8,C3,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,4,2,2,6,0.0434783,0.0217391,0.0217391,0
G1,Virgin Islands (U.S.),VIR,-0.0394714,-1.01529,126,C1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,1,0,0.0217391,0.0108696,0.0108696,0
G1,Singapore,SGP,0.437313,0.373427,91,C6,0,0,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,0,0,0,,0,0,0,0
G1,Czech Republic,,0.481587,0.436656,60,,,,,,,,,,,,,,,,,,,,,,,,6,3,3,8,0.0652174,0.0326087,0.0326087,0
G1,Ghana,GHA,-0.0464087,-1.02222,45,C2,9,9,9,9,9,9,9,9,9,11,11,11,11,11,11,11,11,11,11,11,11,11,0,0,0,,0,0,0,0
G1,Cambodia,KHM,0.437071,0.347953,70,C1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0
G1,Indonesia,IDN,0.453061,0.393613,143,C2,0,0,0,0,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,2,1,1,4,0.0217391,0.0108696,0.0108696,0
G1,Ethiopia,ETH,-0.87945,-0.760096,21,C4,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,0,0,0,,0,0,0,0
G1,Moldova,MDA,0.510864,0.440261,54,C4,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,11,11,11,4,2,2,7,0.0434783,0.0217391,0.0217391,0
G1,Kenya,KEN,0.405471,0.507762,106,C2,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,12,12,12,12,12,12,12,4,2,2,0,0.0434783,0.0217391,0.0217391,0
G1,Philippines,PHL,0.45961,0.401515,4,C3,10,10,10,10,10,10,10,10,10,10,10,10,11,11,11,11,11,11,11,11,13,13,2,1,1,4,0.0217391,0.0108696,0.0108696,0
G1,Mali,MLI,1.13404,1.08949,30,C4,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,2,1,1,0,0.0217391,0.0108696,0.0108696,0
G1,Morocco,MAR,0.499648,0.454841,95,C4,6,6,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,6,3,3,3.33333,0.0652174,0.0326087,0.0326087,0
G1,Norway,NOR,0.475944,0.40749,73,C5,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,2,1,1,4,0.0217391,0.0108696,0.0108696,0
G1,Poland,POL,0.487877,0.433717,26,C2,0,0,9,9,9,9,9,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,22,11,11,8.36364,0.23913,0.119565,0.119565,0
G1,Rwanda,RWA,0.417813,0.515718,96,C6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,2,1,1,0,0.0217391,0.0108696,0.0108696,0
G1,"Venezuela, RB",VEN,0.460112,0.462057,195,C3,6,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,17,17,17,0,0,0,,0,0,0,0
G1,Serbia and Montenegro,,0.507091,0.359497,79,,,,,,,,,,,,,,,,,,,,,,,,2,1,1,0,0.0217391,0.0108696,0.0108696,0
G1,Eritrea,ERI,-0.882373,-0.754994,84,C2,0,0,0,0,0,0,0,0,0,0,0,0,8,8,8,8,8,8,8,8,8,8,2,1,1,0,0.0217391,0.0108696,0.0108696,0
G1,Tunisia,TUN,0.495028,0.46321,174,C2,0,0,0,0,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,2,1,1,6,0.0217391,0.0108696,0.0108696,0
G1,Hungary,HUN,0.463528,0.41873,164,C3,0,13,13,13,13,13,13,13,13,13,13,13,13,13,13,11,11,13,13,13,13,13,2,1,1,4,0.0217391,0.0108696,0.0108696,0
G1,Nepal,NPL,0.414758,0.413452,136,C2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,10,10,10,10,2,1,1,12,0.0217391,0.0108696,0.0108696,0
G1,"Hong Kong SAR, China",HKG,0.446463,0.383874,175,C4,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,0,0,0,,0,0,0,0
G1,Slovak Republic,SVK,0.492537,0.441879,34,C5,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,2,1,1,14,0.0217391,0.0108696,0.0108696,0
G1,Belarus,BLR,0.497698,0.433084,128,C4,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,6,3,3,22,0.0652174,0.0326087,0.0326087,0
G1,Netherlands,NLD,0.465599,0.412275,97,C3,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,4,2,2,3,0.0434783,0.0217391,0.0217391,0
G1,Israel,ISR,0.511103,0.454687,113,C3,11,11,11,11,11,11,11,11,11,11,11,13,13,13,13,13,13,13,15,15,15,15,2,1,1,2,0.0217391,0.0108696,0.0108696,0
G1,Vietnam,,0.432164,0.332958,44,,,,,,,,,,,,,,,,,,,,,,,,2,1,1,0,0.0217391,0.0108696,0.0108696,0
G1,Uganda,UGA,0.422407,0.502726,111,C2,0,0,0,0,0,0,0,0,0,0,7,7,7,7,7,7,7,7,7,7,7,7,0,0,0,,0,0,0,0
G1,West Bank and Gaza,PSE,0.529958,0.470895,146,C5,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,2,1,1,0,0.0217391,0.0108696,0.0108696,0
G1,Cameroon,CMR,-0.0693812,-1.02011,86,C6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,0,0,0,,0,0,0,0
G1,Bulgaria,BGR,0.500966,0.36127,6,C2,9,9,9,9,9,9,9,9,9,9,9,9,9,11,11,11,11,11,11,11,11,11,2,1,1,0,0.0217391,0.0108696,0.0108696,0
G1,Mexico,MEX,0.470368,0.420246,33,C3,9,9,9,11,11,11,11,11,11,11,11,11,11,11,14,14,14,14,14,14,14,14,2,1,1,4,0.0217391,0.0108696,0.0108696,0
G1,Latvia,LVA,0.513162,0.416327,17,C3,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,0,0,0,,0,0,0,0
G1,France,FRA,0.488882,0.445269,124,C5,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,6,3,3,4,0.0652174,0.0326087,0.0326087,0
G1,Russian Federation,RUS,0.504011,0.42979,150,C2,8,8,8,8,8,8,9,9,9,9,9,9,9,9,9,11,11,11,11,11,11,11,32,16,16,4.75,0.347826,0.173913,0.173913,0
G1,Syrian Arab Republic,SYR,0.546171,0.484123,81,C4,6,6,6,6,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,0,0,0,,0,0,0,0
G1,Turkey,,0.497708,0.373598,9,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,,0,0,0,0
G1,Australia,AUS,0.462585,0.435799,182,C5,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,0,0,0,,0,0,0,0
G1,Pakistan,PAK,0.419724,0.417772,55,C3,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,2,1,1,12,0.0217391,0.0108696,0.0108696,0
G1,"Korea, Rep.",KOR,0.441516,0.404524,120,C2,6,6,6,6,7,8,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,4,2,2,9,0.0434783,0.0217391,0.0217391,0
G1,Myanmar,MMR,0.428616,0.397021,66,C6,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,0,0,0,,0,0,0,0
G1,Tajikistan,TJK,0.524306,0.43716,162,C4,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,0,0,0,,0,0,0,0
G1,Tanzania,TZA,0.393717,0.495703,155,C6,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,0,0,0,,0,0,0,0
G1,Chile,CHL,0.466056,0.476638,132,C3,8,8,8,8,8,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,2,1,1,0,0.0217391,0.0108696,0.0108696,0
G1,Zimbabwe,ZWE,0.363826,0.493344,125,C6,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,0,0,0,,0,0,0,0
G1,Japan,JPN,0.447906,0.41677,46,C4,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,4,2,2,2,0.0434783,0.0217391,0.0217391,0
G1,"Korea, Dem. Rep.",,0.422916,0.388801,196,,,,,,,,,,,,,,,,,,,,,,,,2,1,1,4,0.0217391,0.0108696,0.0108696,0
G1,Jamaica,JAM,0.437213,0.435304,156,C6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,2,1,1,10,0.0217391,0.0108696,0.0108696,0
G1,Switzerland,CHE,0.461795,0.449164,80,C3,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,0,0,0,,0,0,0,0
G1,Turkmenistan,TKM,0.516272,0.43325,201,C2,9,9,9,9,9,9,9,9,9,9,9,10,10,10,10,10,12,12,12,12,12,12,2,1,1,32,0.0217391,0.0108696,0.0108696,0
G1,Malaysia,MYS,0.42579,0.357222,49,C2,0,0,0,0,0,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,2,1,1,0,0.0217391,0.0108696,0.0108696,0
G1,Lesotho,LSO,0.407921,0.462729,170,C2,0,0,0,0,0,0,0,0,0,0,0,0,7,7,7,7,7,7,7,7,7,7,2,1,1,0,0.0217391,0.0108696,0.0108696,0
G1,Thailand,THA,0.443929,0.371143,7,C4,0,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,2,1,1,0,0.0217391,0.0108696,0.0108696,0
G1,Ukraine,UKR,0.497754,0.430569,74,C3,10,10,10,10,10,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,12,6,6,11.6667,0.130435,0.0652174,0.0652174,0
G1,Bangladesh,BGD,0.411015,0.416445,206,C6,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,0,0,0,,0,0,0,0
G1,Georgia,GEO,0.517947,0.419498,157,C2,6,6,6,6,6,6,6,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,0,0,0,,0,0,0,0
G1,Mozambique,MOZ,0.397825,0.476996,190,C1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,3,3,0.666667,0.0652174,0.0326087,0.0326087,0
G1,China,CHN,0.448285,0.389295,20,C4,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,14,7,7,1.42857,0.152174,0.076087,0.076087,0
G1,Argentina,ARG,0.468606,0.453304,119,C3,10,10,10,10,10,10,10,10,13,13,13,13,13,13,13,13,13,14,14,14,14,14,0,0,0,,0,0,0,0
G1,India,IND,0.421647,0.418132,181,C2,0,0,0,0,0,0,0,0,0,0,0,8,8,8,8,8,8,8,8,8,8,8,12,6,6,2.33333,0.130435,0.0652174,0.0652174,0
G1,Puerto Rico,PRI,0.475506,0.419284,131,C3,13,13,13,16,16,16,16,16,16,16,16,13,13,13,13,13,13,13,13,13,13,13,2,1,1,4,0.0217391,0.0108696,0.0108696,0
G1,Sri Lanka,LKA,0.414091,0.420044,72,C4,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,11,11,11,11,0,0,0,,0,0,0,0
G1,Uzbekistan,UZB,0.512576,0.425719,121,C3,11,11,11,11,11,11,11,11,11,11,11,11,11,12,12,12,12,12,12,12,12,12,0,0,0,,0,0,0,0
G1,Austria,AUT,0.481259,0.424506,71,C2,9,9,9,9,9,9,9,9,9,9,9,9,9,10,10,10,10,10,10,13,13,13,2,1,1,4,0.0217391,0.0108696,0.0108696,0
G1,Azerbaijan,AZE,0.524991,0.42213,208,C4,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,10,10,10,10,10,10,10,4,2,2,17,0.0434783,0.0217391,0.0217391,0
G1,Sweden,SWE,0.480705,0.412716,69,C4,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,10,2,1,1,4,0.0217391,0.0108696,0.0108696,0
G1,New Zealand,NZL,0.444371,0.430337,167,C5,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,0,0,0,,0,0,0,0
G1,United Kingdom,GBR,0.457956,0.431483,23,C3,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,10,5,5,1.2,0.108696,0.0543478,0.0543478,0
G1,Estonia,EST,0.526874,0.430175,199,C4,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,0,0,0,,0,0,0,0
G1,Burkina Faso,BFA,1.14347,1.07957,149,C5,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,2,1,1,0,0.0217391,0.0108696,0.0108696,0
G1,Spain,ESP,0.460214,0.455247,205,C5,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,6,3,3,0,0.0652174,0.0326087,0.0326087,0
G1,Canada,CAN,0.46869,0.430064,38,C5,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,2,1,1,4,0.0217391,0.0108696,0.0108696,0
G1,Kyrgyz Republic,KGZ,0.520153,0.4273,137,C4,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,10,10,10,10,10,10,0,0,0,,0,0,0,0
G1,Paraguay,PRY,0.471667,0.472383,112,C2,9,9,9,9,9,9,9,9,9,9,9,9,9,13,13,13,13,13,13,13,13,13,2,1,1,0,0.0217391,0.0108696,0.0108696,0
